,directorio,secuencia_p,orden,clase,dominio,mes,estrato1,sex,age,p6050,p6090,p6100,p6210,p6210s1,p6240,oficio,p6426,relab,p6500,p6510,p6510s1,p6510s2,p6545,p6545s1,p6545s2,p6580,p6580s1,p6580s2,p6585s1,p6585s1a1,p6585s1a2,p6585s2,p6585s2a1,p6585s2a2,p6585s3,p6585s3a1,p6585s3a2,p6585s4,p6585s4a1,p6585s4a2,p6590,p6590s1,p6600,p6600s1,p6610,p6610s1,p6620,p6620s1,p6630s1,p6630s1a1,p6630s2,p6630s2a1,p6630s3,p6630s3a1,p6630s4,p6630s4a1,p6630s6,p6630s6a1,p6750,p6760,p550,hoursWorkUsual,p6870,p6920,p7040,hoursWorkActualSecondJob,p7050,p7070,p7090,p7110,p7120,p7140s1,p7140s2,p7150,p7160,p7310,p7350,p7422,p7422s1,p7472,p7472s1,p7495,p7500s1,p7500s1a1,p7500s2,p7500s2a1,p7500s3,p7500s3a1,p7505,p7510s1,p7510s1a1,p7510s2,p7510s2a1,p7510s3,p7510s3a1,p7510s5,p7510s5a1,p7510s6,p7510s6a1,p7510s7,p7510s7a1,pet,ina,impa,isa,ie,imdi,iof1,iof2,iof3h,iof3i,iof6,cclasnr2,cclasnr3,cclasnr4,cclasnr5,cclasnr6,cclasnr7,cclasnr8,cclasnr11,impaes,isaes,iees,imdies,iof1es,iof2es,iof3hes,iof3ies,iof6es,ingtotob,ingtotes,ingtot,fex_c,depto,fex_dpto,fweight,maxEducLevel,college,regSalud,cotPension,wap,ocu,dsi,pea,inac,totalHoursWorked,formal,informal,cuentaPropia,microEmpresa,sizeFirm,y_salary_m,y_salary_m_hu,y_ingLab_m,y_horasExtras_m,y_especie_m,y_vivienda_m,y_otros_m,y_auxilioAliment_m,y_auxilioTransp_m,y_subFamiliar_m,y_subEducativo_m,y_primas_m,y_bonificaciones_m,y_primaServicios_m,y_primaNavidad_m,y_primaVacaciones_m,y_viaticos_m,y_accidentes_m,y_salarySec_m,y_ingLab_m_ha,y_gananciaNeta_m,y_gananciaNetaAgro_m,y_gananciaIndep_m,y_gananciaIndep_m_hu,y_total_m,y_total_m_ha
26,4514339,1,2,1,BOGOTA,1,2,1,39,2,1,1,6,7,4,33,94,1,1450000,1,0,1,2,0,NA,2,0,NA,2,0,NA,1,0,1,1,58000,2,2,0,NA,1,0,2,0,2,0,2,0,1,1300000,2,0,2,0,2,0,2,0,NA,NA,NA,44,9,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,1,2,0,2,0,2,0,2,0,1,150000,2,0,1,NA,1616333.33333333,0,0,NA,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1e+05,NA,NA,NA,NA,NA,NA,1616333.33333333,1e+05,1716333.33333333,352.079215448786,11,352.079215448786,352,7,0,1,1,1,1,0,1,0,44,1,0,0,0,5,1450000,7689.39404296875,1616333.375,0,0,NA,NA,NA,0,58000,NA,NA,NA,1300000,NA,NA,NA,NA,NA,8571.46484375,NA,NA,NA,NA,1616333.375,8571.46484375
27,4514340,1,1,1,BOGOTA,1,2,0,77,1,1,1,4,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,1,0,2,0,2,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,0,5e+05,5e+05,254.386811904384,11,254.386811904384,254,5,0,1,NA,1,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,4514341,1,2,1,BOGOTA,1,2,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.937337274216,11,296.937337274216,297,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,4514341,1,1,1,BOGOTA,1,2,0,20,1,1,1,5,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,0,NA,NA,1,2,0,2,0,1,150000,1,1,4e+05,2,0,2,0,2,0,2,0,2,0,1,NA,NA,NA,NA,NA,0,0,183333.333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183333.333333333,NA,183333.333333333,296.937337274216,11,296.937337274216,297,6,1,1,NA,1,0,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,4514342,1,1,1,BOGOTA,1,2,0,54,1,1,3,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,254.687742271476,11,254.687742271476,255,7,0,3,NA,1,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,4514342,1,2,1,BOGOTA,1,2,1,29,3,2,NA,6,2,4,37,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,1,NA,40,1,2,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,1e+06,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,NA,1e+06,254.687742271476,11,254.687742271476,255,7,0,NA,2,1,1,0,1,0,40,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,NA,1e+06,5833.33349609375,1e+06,5833.33349609375
32,4514343,1,3,1,BOGOTA,1,2,1,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.27183342678,11,429.27183342678,429,1,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,4514343,1,2,1,BOGOTA,1,2,0,25,2,1,1,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,429.27183342678,11,429.27183342678,429,7,0,1,NA,1,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,4514343,1,1,1,BOGOTA,1,2,1,29,1,1,1,5,11,4,45,24,1,750000,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,29000,2,2,0,NA,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,NA,NA,NA,54,2,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,779000,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779000,NA,779000,429.27183342678,11,429.27183342678,429,6,1,1,1,1,1,0,1,0,54,1,0,0,1,2,750000,3240.74072265625,779000,NA,NA,NA,NA,NA,NA,29000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3366.04931640625,NA,NA,NA,NA,779000,3366.04931640625
35,4514343,1,4,1,BOGOTA,1,2,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.27183342678,11,429.27183342678,429,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,4514344,1,3,1,BOGOTA,1,2,0,21,3,2,NA,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,6e+05,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,6e+05,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e+05,NA,6e+05,205.425424579072,11,205.425424579072,205,7,0,NA,NA,1,0,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,4514344,1,1,1,BOGOTA,1,2,1,44,1,2,NA,5,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,0,NA,NA,1,1,1e+06,2,0,2,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,0,0,0,0,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,NA,1e+06,205.425424579072,11,205.425424579072,205,6,1,NA,NA,1,0,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,4514344,1,2,1,BOGOTA,1,2,0,44,2,2,NA,4,8,6,57,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,1,NA,42,1,2,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,3e+05,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,NA,3e+05,205.425424579072,11,205.425424579072,205,5,0,NA,2,1,1,0,1,0,42,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,NA,3e+05,1666.66662597656,3e+05,1666.66662597656
39,4514345,1,5,1,BOGOTA,1,2,1,31,3,1,1,5,11,6,45,24,1,0,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,83140,2,2,0,NA,2,0,NA,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,2,0,NA,NA,NA,55,9,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,1,2,0,2,0,2,0,2,0,1,0,2,0,1,NA,0,0,0,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2121000,NA,NA,NA,NA,NA,NA,NA,NA,0,2121000,2121000,173.941869400003,11,173.941869400003,174,6,1,1,1,1,1,0,1,0,55,1,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,83140,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,4514345,1,1,1,BOGOTA,1,2,1,57,1,1,1,5,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,2,0,1,1400000,2,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,NA,NA,NA,NA,0,1400000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400000,NA,1400000,173.941869400003,11,173.941869400003,174,6,1,1,NA,1,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,4514345,1,2,1,BOGOTA,1,2,0,53,2,1,1,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,173.941869400003,11,173.941869400003,174,4,0,1,NA,1,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,4514345,1,3,1,BOGOTA,1,2,1,23,3,1,1,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,0,NA,NA,2,NA,0,NA,0,NA,0,1,2,0,2,0,2,0,2,0,1,6e+05,1,1200000,1,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,173.941869400003,11,173.941869400003,174,7,0,1,NA,1,0,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,4514345,1,4,1,BOGOTA,1,2,0,18,3,1,1,5,11,1,45,18,1,0,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,NA,NA,NA,84,2,2,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,0,0,0,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,250000,NA,NA,NA,NA,NA,NA,NA,NA,0,250000,250000,173.941869400003,11,173.941869400003,174,6,1,1,2,1,1,0,1,0,84,0,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,4514346,1,1,1,BOGOTA,1,2,1,55,1,1,3,5,11,1,84,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,48,2,2,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,0,0,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,9e+05,NA,NA,NA,NA,NA,NA,NA,NA,0,9e+05,9e+05,238.640556816578,11,238.640556816578,239,6,1,3,2,1,1,0,1,0,48,0,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,4514347,1,1,1,BOGOTA,1,2,0,71,1,1,1,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,2,0,1,649191,2,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,NA,NA,NA,NA,0,649191,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649191,NA,649191,254.386811904384,11,254.386811904384,254,4,0,1,NA,1,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,4514348,1,5,1,BOGOTA,1,2,0,8,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.558417964202,11,347.558417964202,348,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,4514348,1,3,1,BOGOTA,1,2,0,29,3,1,3,5,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,0,NA,NA,2,NA,0,NA,0,NA,0,1,1,3600000,2,0,1,1100000,2,0,2,0,2,0,1,NA,NA,NA,NA,NA,0,0,3e+05,91666.6666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391666.666666667,NA,391666.666666667,347.558417964202,11,347.558417964202,348,6,1,3,NA,1,0,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,4514348,1,4,1,BOGOTA,1,2,0,8,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.558417964202,11,347.558417964202,348,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,4514348,1,1,1,BOGOTA,1,2,0,56,1,1,1,3,5,1,55,30,1,737717,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,83140,2,2,0,NA,2,0,NA,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,2,0,NA,NA,NA,48,9,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,820857,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,820857,NA,820857,347.558417964202,11,347.558417964202,348,4,0,1,1,1,1,0,1,0,48,1,0,0,0,5,737717,3586.12426757812,820857,NA,NA,NA,NA,NA,83140,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3990.27709960938,NA,NA,NA,NA,820857,3990.27709960938
50,4514348,1,2,1,BOGOTA,1,2,1,54,2,1,1,5,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,0,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,347.558417964202,11,347.558417964202,348,6,1,1,NA,1,0,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
